 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1019368,201206,1801-2400,ZAB.ARTCC,NM,,,,16500,,IMC,Icing; 5,,Night,21000,,Center ZAB,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,Utility / Infrastructure,,Climb,Direct,Class E ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 60; Flight Crew Total 2300; Flight Crew Type 100,,Human-Machine Interface; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1019368,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Weather / Turbulence,Vertical 1500,N,Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Regained Aircraft Control; Flight Crew Returned To Clearance,Human Factors; Weather,Weather,"I requested a climb from FL190 to FL250 to climb above weather. Before entering into a climb I asked the Second Officer to perform a full sweep with the camera to look for cloud location and adverse weather. None was noted.Climbing through FL210 conditions were encountered that affected the performance of the aircraft and resulted in a loss of altitude from FL210 to 16;500 MSL. Due to my efforts to fully regain positive control of the aircraft I was unable to declare an emergency as the main concern was to regain positive control of the airplane and prevent further descent. As soon as I regained positive control I initiated an immediate climb to the cleared altitude of FL250. ATC advised of the deviation in altitude. I advised ATC that the descent was due to weather and the aircraft currently in a climb to FL250. The flight level request was amended to FL290 in order to fly above weather.",,,,"While attempting to climb above weather the pilot of a UAV lost control of his aircraft at FL210 and lost altitude to 16;500 MSL before regaining control and restarting the climb.",
1023598,201207,0601-1200,ZZZ.Airport,US,,,,23000,,Mixed,Thunderstorm; 20,,Daylight,12000,,Center ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,,Part 91,IFR,Other Law Enforcement,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 40; Flight Crew Total 3000; Flight Crew Type 300,,Communication Breakdown; Time Pressure; Workload; Situational Awareness; Distraction,Party1 Flight Crew; Party2 ATC,,1023598,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification,ATC Equipment / Nav Facility / Buildings; Environment - Non Weather Related; Procedure,Ambiguous,"The UAV began a transit toward its home base due to rapidly deteriorating weather conditions in the vicinity of airport. I requested and was cleared into the adjacent operating areas at FL230 while transiting westbound. Crossing from adjacent areas; I requested clearance into the restricted area from Center. Center stated that they would advise Approach of our intentions. We remained with Center while we transited into and loitered in the operating area. The recovery aircrew at the destination advised us that they would be unable to talk to Center from their ground control station and requested we switch to destination airport Approach so they could regain control of the aircraft. At that time I requested a handover to Approach from Center; on the same frequency I previously requested clearance into the restricted area; and was cleared to switch to Approach from Center. At that time we immediately switched to Approach and checked in. The Controller asked our intentions and I stated that the destination airport controllers would be regaining control of the UAV and that they would be requesting a recovery to its home base. Immediately following that call I passed the aircraft control over to the destination flight crew and they checked in with Approach; who was querying the destination flight crew about our handover from Center. Following the flight I spoke with a Tower Controller via telephone and relayed the above events.",,,,"A MQ-9 pilot reported communications difficulties while attempting to transfer ATC control of the UAV to the final approach crew.",
1029448,201208,0601-1200,ZZZ.Airport,US,,,,23000,,VMC,,,Daylight,,,Center ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,2,Part 91,IFR,Ferry / Re-Positioning,,Cruise,Vectors,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Government,Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 120; Flight Crew Total 7200; Flight Crew Type 5000,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 ATC,,1029448,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance,Procedure; Airspace Structure; Aircraft,Aircraft,"ATC cleared our UAV via a vector change to our route of flight due to active military airspace. The new route took the UAV over the populated area of a nearby large city. We are not allowed to fly the UAV over populated areas; so asked for vectors around the city. ATC then assigned a heading of 095 which would have put the UAV over the populated area of an adjacent smaller city so we again asked for another heading to avoid populated areas. They then assigned a heading of 085 to avoid overflight of the smaller city. Center continued to provide vectors around all the populated areas. Once clear; Center handed us off to Approach and recovery was made without further incident.",,,,"When the UAV's original route of flight was compromised by an active MOA; its flight crew received vectors around populated areas and to the vicinity of their recovery station.",
1031905,201208,1801-2400,ZMP.ARTCC,MN,,,,35000,,,,,,,,Center ZMP,,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Cruise,,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Communication Breakdown; Training / Qualification,Party1 ATC; Party2 ATC,,1031905,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control,In-flight,General None Reported / Taken,Aircraft; Human Factors,Ambiguous,"While working an adjacent sector I witnessed a UAV deviate from his assigned altitude. This UAV was cleared to maintain FL350. The aircraft descended out of FL350 to FL300 without a clearance. When questioned by the controller; the remote pilot stated that he could not maintain FL350 so he descended. I feel this event happened due to the training of the remote pilots of the unmanned aircraft. I had no role in the event other than witness. I was informed by the controller and the FLM that they were not going to file any paperwork on the event. The accountability and standards for unmanned aircraft remotes should be equal to the standards of the commercial pilots. Also unmanned aircraft must be held to the same restrictions as manned aircraft. For example; in the Global Hawk System; if the aircraft loses data link it will fly its programmed flight plan. It will not maintain its last assigned altitude. In this example positive separation can not be maintained.",,,,"ZMP Controller reports a UAV descending out of FL350 to FL300 without clearance. When questioned by the Controller the remote pilot stated that he could not maintain FL350 so he descended.",
1050989,201211,,ZZZ.ARTCC,US,,,,19000,,IMC,,,Night,,,Center ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Cruise,None,Class A ZZZ; Special Use ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Government,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 45; Flight Crew Total 6500; Flight Crew Type 125,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1050989,,,,,,,,,,,,Airspace Violation All Types,,,Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Exited Penetrated Airspace,Procedure,Procedure,"While on patrol; flying an Unmanned Aircraft (MQ-9) the pilot flying contacted Center and requested clearance into a Restricted Area. Center approved the clearance and the crew proceeded to fly into the airspace. While entering the airspace; the crew contacted Range Control and advised their intent. Range Control advised that the airspace was active and not under Center's control. Pilot flying proceeded to turn around and exit the airspace without further incidents.",,,,"ATC cleared a MQ-9 into restricted airspace believing it was under their control but the pilot was notified by Range Control after entry that the area was active so he exited immediately.",
1060965,201301,1801-2400,ZMP.ARTCC,MN,,,,20000,,,,,,,,Center ZMP,Military,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Cruise,,Class A ZMP; Special Use MOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,1060965,,,,,,,,,,,,ATC Issue All Types,,,Person Air Traffic Control,In-flight,General None Reported / Taken,Procedure; Human Factors; Aircraft,Ambiguous,"The Predator departed for airspace usage to the east. Beaver MOA active 003B310. The pilot requested D1A; D2A; and D3A. These airspace's are supposed to enable the Predator to navigate clear of the Beaver MOA (very narrow corridor) CBP [Customs and Border Patrol] has said with certainty that this aircraft can navigate these areas without violating the Beaver MOA. The Predator came within 1 mile of the BEAVER MOA while active with TWO-F16's. This procedure is not safe due to the UNMANNED aircraft not having the ability to safely navigate clear of Active MOA's; there is simply not enough space for the Predator to get through.",,,,"ZMP Controller alleges that the UAV that he is controlling (verbally) cannot navigate precisely enough to remain clear of the Beaver MOA as required.",
1061436,201301,1801-2400,MMZT.ARTCC,FO,,,,19000,,IMC,,,Night,,,,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,Utility / Infrastructure,,Cruise,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Pilot Flying,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 50; Flight Crew Total 6500; Flight Crew Type 100,,Situational Awareness,,,1061436,,,,,,,,,,,,Airspace Violation All Types; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Flight Crew Exited Penetrated Airspace,Human Factors; Weather,Human Factors,"While conducting a law enforcement mission in the Southern Arizona area; aircraft was unintentionally flown into Mexican airspace. Mission was conducted in close proximity to the International Border; crew was trying to maintain the aircraft away from the border; but in a good position to maintain surveillance while dealing with strong winds aloft. During one of our orbits around the target the aircraft was pushed over the border and into Mexican airspace. Winds aloft over the target location were from the north at 60 KTS. After flying over the border and into Mexican airspace the crew immediately commanded a turn to the north to return to U.S. airspace.",,,,"Drone pilot reports drifting into Mexican airspace due to high winds aloft while on a mission along the southwest border.",
1076083,201303,1801-2400,DUG.Airport,AZ,230,8,,19000,,VMC,,,Dusk,,,Center ZAB,Government,UAV - Unpiloted Aerial Vehicle,,,Part 91,IFR,Utility / Infrastructure,,Cruise,Direct,Class A ZAB,,,,,,,,,,,,,,,,,,,,,,,,Autopilot,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 75; Flight Crew Total 2200; Flight Crew Type 500,,Human-Machine Interface,,,1076083,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Returned To Clearance,Aircraft; Human Factors,Human Factors,"While operating an MQ-9 Unmanned aircraft system; I was level as assigned by Center at FL190. I designed a pre-program mission to allow the aircraft to loiter over a surveillance target. While designing the mission I mistakenly allowed the first waypoint of that mission to be left at its default altitude of 6;000 MSL. After giving the aircraft autopilot the instruction to fly the mission I immediately noticed its decreasing altitude. I immediately disabled the autopilot resulting in only a minimal altitude loss. I corrected the design of the operational mission; and thought that I sent it to the aircraft. However during that time I became distracted with a handover brief to another pilot. Before getting out of the seat to handover to the Relief Pilot I activated pre-program for the autopilot again. After trading seats I looked back at the altitude display to see that the aircraft had descended over 1;000 FT. The Relief Pilot saw it at the same time and commanded the aircraft to arrest its descent and climb back to FL190. The Center Controller contacted the aircrew to notify them of the altitude loss and the aircrew informed the Controller that the aircraft was returning to its assigned altitude.",,,,"MQ-9 pilot reports a programming error that results in a 1;000 FT altitude deviation before it's detected and corrected.",
1077518,201203,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Part 91,None,Other Demonstration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 250; Flight Crew Total 10000; Flight Crew Type 0,,Other / Unknown,,,1077518,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,Other Post Flight,General None Reported / Taken,Procedure,Procedure,"We were invited by the military to demonstrate a small; Styrofoam model aircraft equipped with a low-cost autopilot that gave it autonomous control (i.e. a UAV). We were not paid for this activity. This was to be conducted at a military field; in active restricted airspace; under the local control of the government agency in charge of the military field. Our flight test plan; radio frequencies; and vehicle were approved by the controlling agency. We also carried a $1 million liability policy on the model airplane/UAV for just this event. We conducted about twenty flights during the day. Each individual flight was also approved by the controlling agency for the military field. A Student Engineer who had experience in these vehicles was flown in from across the country to be the actual 'pilot.' The vehicle was programmed to fly a circuit around the closed airfield and was never out of visual sight. Recent conversations with the FAA indicate that we should have also had an airworthiness certificate. We did not know this was required under these conditions and did not have one for any of the flights during the demonstration. No conflicts with manned or unmanned aircraft occurred and all flights were uneventful.",,,,"A small Styrofoam UAV was flown in military airspace on demonstration test flights but an FAA air worthiness certificate was not obtained prior to flight.",
1102459,201307,0601-1200,ZAB.ARTCC,NM,,,,19000,,VMC,,,Daylight,,,Center ZAB,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,Other national security,,Cruise,,Class A ZAB,,,,,,,,,,,,,,,,,,,,,,,,Altimeter,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Single Pilot; Pilot Flying,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial,Flight Crew Last 90 Days 15; Flight Crew Total 2200; Flight Crew Type 600,,Situational Awareness,,,1102459,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Undershoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented,Human Factors; Aircraft,Human Factors,"When I was given command of the aircraft; it was below Class A airspace on a VFR flight plan at 15;000 MSL. The altimeter setting was set as appropriate for the airspace and altitude it was in. I decided to climb to FL190 and activate our IFR flight plan. After reaching FL190 I forgot to reset my altimeter setting to 29.92. The effect of this was that the aircraft was flying approximately 300 feet lower than indicated by my altimeter. I did not notice this until questioned about it by the Center Controller approximately 20 minutes after reaching FL190. I corrected my error and the aircraft resumed flight at the correct altitude.",,,,"A UAV pilot failed to reset the altimeter when the aircraft was climbed to FL190 from 15;000 MSL. ATC questioned the altitude readout and the error was corrected.",
1118355,201309,0001-0600,ZLA.ARTCC,CA,,,,5000,,,,,,,,Center ZLA,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLA.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Situational Awareness; Communication Breakdown,Party1 ATC; Party2 Other; Party2 Flight Crew,,1118355,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,,General None Reported / Taken,Human Factors; Procedure,Procedure,"A UAV was in the block FL500B650 on a flight. The affected sectors had no prior knowledge of this UAV flying through the airspace and did not receive any specific information on potential lost-link; lost-comm; or route of flight information. I asked the MOS desk if they were aware the flight was transiting our airspace and they informed me that they did not know the flight was occurring and did not have easy access to the control information including pilot phone numbers. In addition; the aircraft type showed a 'ZZZZ.' If we don't know the specific aircraft is a UAV; then it is impossible to know that a lost-link may occur and specifically what routes may be flown should a lost-link occur. After I was off position; I was able to find the information for the flight and I discovered that the route the aircraft flew was also not an approved route. This potentially could put future flights in conflict with other UAV missions in the same vicinity. This event did not cause an OE/OD/etc; but the potential for mishap is great if the needed information is not given to the controllers working the positions. The proponents/users need to ensure coordination with the affected facilities prior to UAV flights. Controllers need to have ready access to lost-link and lost-comm procedures and phone numbers of the remote pilots. ERAM needs to be adapted ideally to show the correct aircraft type but at a minimum ERAM needs to indicate whether an aircraft is a UAV or not.",,,,"ZLA Controller voiced concern regarding an UAV operation that was lacking specific operator contact information; ERAM aircraft type designation/s and sector briefings.",
1124343,201309,1201-1800,ZZZ.Airport,US,,,1500,,,VMC,10,,Daylight,10000,,,Military,UAV - Unpiloted Aerial Vehicle,,1,Part 91,None,Test Flight / Demonstration,,Initial Approach,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Military,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial; Flight Crew Multiengine,Flight Crew Last 90 Days 100; Flight Crew Total 3300; Flight Crew Type 150,,Human-Machine Interface; Situational Awareness,,,1124343,,,,,,,,,,,,Airspace Violation All Types,,N,Person Ground Personnel,Other Post Flight,,Airspace Structure; Human Factors,Human Factors,"A scheduled VFR test flight was finalizing the last test points as the aircrew began to initiate practice approaches to verify the automatic land functionality and logic inside the previously scheduled restricted airspace. The recovery phase of the flight required the aircrew to operate the aircraft and implement an amended right hand traffic pattern which runs very close to the restricted airspace boundary. This amended right hand traffic pattern not only offered a larger safety margin; but allowed terrain separation as well; which is why a left hand traffic pattern was not utilized.While executing practice approaches; the aircrew noticed that the autopilot was not intercepting and maintaining the approach localizer/azimuth as briefed. The aircrew felt that the amended traffic pattern could be root cause of the lackluster performance and by widening and squaring the pattern; it could assist the autoland to regaining desired tracking performance. While flying the wider pattern; the aircrew was completely aware that they were operating extremely close to the airspace boundary; but felt they were still operating the landing pattern safely inside the restricted airspace. After downloading and parsing aircraft data; it was determined that an airspace breach occurred while the aircraft was on the downwind turning to base. The data shows that aircraft did cross the restricted boundary by 300 FT (estimate only) on three out of [more than] twenty patterns.",,,,"While reviewing post flight data it was determined that a military UAV practicing landings breached the edge of the authorized restricted airspace envelope.",
1136290,201312,0001-0600,ZLA.ARTCC,CA,,,,51000,,,,,,,,Center ZLA,Military,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Cruise,,Class A ZLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balloon,,,,,,,Climb,None,Class A ZLA,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLA.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Situational Awareness; Communication Breakdown,Party1 ATC; Party2 Other,,1136290,,,,,,,,,,,,ATC Issue All Types,,,,,General None Reported / Taken,Human Factors; Procedure,Procedure,"I was working ZLA33/32 and had just also combined with ZLA34. One of the pieces of traffic that the Controller working ZLA34 gave me was a UAV operating 510B600. I asked the Supervisor for the mission paperwork and noticed that the pre-coordinated flight plan paperwork showed that the aircraft should have been operating 510B590. As part of the briefing from Sector 34; I was also told about a balloon operating above FL600. I looked at that map and noticed the flight plan was proposed to be in approximately the same location as the UAV flight. I asked the Supervisor to call the provided number to have the balloon flight begin a squawk so we could see the balloon location. We observed the balloon code pop up less than 8 miles from the UAV. Although this did not result in a loss of separation; the potential was definitely present. The UAV flight should not have been allowed to operate in an altitude not previously coordinated. In addition it is unclear if operating at 510B600 gives a UAV permission to operate above FL600. The balloon flights should be required to continually squawk a code with an altitude readout for improved ATC planning.",,,,"ZLA Controller voiced concern regarding a potential conflict between a balloon operation conducted an operating transponder and a UAV with less than clear altitude parameters.",
